width_rib,,web_string,thick_web,boom_string,thick_boom,round_string,m,,thick_cover,,S11,S22,,sections,step_string,step_rib
0,,50,5,40,5,5,2,,14,,24,2,,49,180,660
1396,,50,5,40,5,5,1,,14,,24,2,,,,
2562,,50,5,40,5,5,1,,14,,24,2,,,,
3698,,50,5,40,5,5,1,,14,,24,2,,,,
4865,,50,5,40,5,5,1,,14,,24,2,,,,
5129,,50,5,40,5,5,1,,14,,24,2,,,,
4987,,50,5,40,5,5,1,,14,,24,2,,,,
4845,,50,5,40,5,5,1,,14,,24,2,,,,
4703,,50,5,40,5,5,1,,14,,24,2,,,,
4561,,50,5,40,5,5,1,,14,,24,2,,,,
4419,,50,5,40,5,5,1,,14,,24,2,,,,
4277,,50,5,40,5,5,1,,14,,24,2,,,,
4135,,50,5,40,5,5,1,,14,,24,2,,,,
4003,,50,5,40,5,5,1,,14,,24,2,,,,
3851,,50,5,40,5,5,1,,14,,24,2,,,,
3709,,50,5,40,5,5,1,,14,,24,2,,,,
3567,,50,5,40,5,5,1,,14,,24,2,,,,
3425,,50,5,40,5,5,1,,14,,24,2,,,,
3283,,50,5,40,5,5,1,,14,,24,2,,,,
3141,,50,5,40,5,5,1,,14,,24,2,,,,
2999,,50,5,40,5,5,1,,14,,24,2,,,,
2899,,50,5,40,5,5,1,,14,,24,2,,,,
2825,,50,5,40,5,5,1,,14,,24,2,,,,
2750,,50,5,40,5,5,1,,13.5,,24,2,,,,
2676,,50,5,40,5,5,1,,13,,24,2,,,,
2601,,50,5,40,5,5,1,,12.5,,24,2,,,,
2526,,50,5,40,5,5,1,,12.5,,24,2,,,,
2452,,50,5,40,5,5,1,,12,,24,2,,,,
2377,,50,5,40,5,5,1,,12,,24,2,,,,
2303,,50,5,40,5,5,1,,11.5,,24,2,,,,
2228,,50,5,40,5,5,1,,11.5,,24,2,,,,
2154,,50,5,40,5,5,1,,11,,24,2,,,,
2079,,50,5,40,5,5,1,,10.5,,24,2,,,,
2005,,50,5,40,5,5,1,,10,,24,2,,,,
1930,,50,5,40,5,5,1,,9.5,,24,2,,,,
1856,,50,5,40,5,5,1,,9,,24,2,,,,
1781,,50,5,40,5,5,1,,8.5,,24,2,,,,
1707,,50,5,40,5,5,1,,8,,24,2,,,,
1632,,50,5,40,5,5,1,,7,,24,2,,,,
1558,,50,5,40,5,5,1,,6,,24,2,,,,
1483,,50,5,40,5,5,1,,5.5,,24,2,,,,
1408,,50,5,40,5,5,1,,5,,24,2,,,,
1334,,50,5,40,5,5,1,,4.5,,24,2,,,,
1259,,50,5,40,5,5,1,,4,,24,2,,,,
1185,,50,5,40,5,5,1,,4,,24,2,,,,
1110,,50,5,40,5,5,1,,4,,24,2,,,,
1036,,50,5,40,5,5,1,,4,,24,2,,,,
961,,50,5,40,5,5,1,,4,,24,2,,,,
887,,50,5,40,5,5,1,,4,,24,2,,,,
839,,50,5,40,5,5,1,,4,,24,2,,,,
,,50,5,40,5,5,2,,4,,24,2,,,,
